Yield,CapUt M,CorpP M,PERatio M,CAPE M,aCDebt M,aTobinQ M,ISM_PMI,Manu M,Momen5,Moving Average,spy_Price,Daily_Return,Result
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.03909688,-0.021609935,18.27,0.018062397,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.125106732,-0.021609935,18.27,0.024083142,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.015622119,-0.021609935,18.290001,0.021869873,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.132781372,-0.021609935,18.290001,0.021869873,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.031430929,-0.021609935,18.18,0.026952695,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.007823502,-0.021609935,18.26,0.025191621,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.131702038,-0.021609935,18.440001,0.018438177,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.177413607,-0.021609935,18.52,0.01349892,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.207818669,-0.021609935,18.559999,0.01239235,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.382379933,-0.021609935,18.68,-0.004282655,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.261136713,-0.021609935,18.6,0.01505371,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.206152565,-0.021609935,18.709999,0.011758472,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.129940374,-0.021609935,18.690001,0.024076938,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.099367112,-0.021609935,18.690001,0.030497537,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.007651695,-0.021609935,18.67,0.039100161,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.091574333,-0.021609935,18.719999,0.028312021,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.053249655,-0.021609935,18.780001,0.010649573,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.060886673,-0.021609935,18.77,0.008524241,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.076028278,-0.021609935,18.790001,0.009579457,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.053763441,-0.021609935,18.6,0.017204301,1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.121065382,-0.021609935,18.879999,-0.002648252,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.113198249,-0.021609935,18.93,0.003697834,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.276159889,-0.021609935,19.139999,0.001044984,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.348612224,-0.021609935,19.26,-0.006230582,0
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.58910162,-0.021609935,19.4,-0.066494794,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.274583302,-0.021609935,19.25,-0.06961039,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,0.037633599,-0.021609935,18.98,-0.045837671,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.158477851,-0.021609935,18.93,-0.078710988,-1
-1,1,0.024270794,0.245108904,0.165369261,0,0,1,1,-0.218390704,-0.021609935,18.969999,-0.067474859,-1
